id;ts;k;u;d
11;2026-09-01T10:54:16.159669+00:00;;;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""60e81f81-9412-4f58-890c-3e26244b94a9""}"
12;2026-09-01T10:54:28.05207+00:00;edd;dbAdm.html;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""https://gormb.github.io/_/"",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""60e81f81-9412-4f58-890c-3e26244b94a9""}"
13;2026-09-01T10:57:54.154515+00:00;;;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""de62eaef-f973-4acd-b03b-549a3c23724d""}"
14;2026-09-01T10:59:14.994684+00:00;;;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""de62eaef-f973-4acd-b03b-549a3c23724d""}"
15;2026-09-01T11:00:01.240769+00:00;;;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""de62eaef-f973-4acd-b03b-549a3c23724d""}"
16;2026-09-01T11:00:23.477517+00:00;;;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""http://127.0.0.1:5501/index.html"",""s"":[1440,900],""t"":0,""x"":2,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""de62eaef-f973-4acd-b03b-549a3c23724d""}"
17;2026-09-01T11:06:33.326579+00:00;;;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""http://127.0.0.1:5501/index.html"",""s"":[1440,900],""t"":0,""x"":2,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""de62eaef-f973-4acd-b03b-549a3c23724d""}"
18;2026-09-01T11:08:48.829692+00:00;ldd;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/LdD.html?book=b/LifeDemandedDeath.pdf;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""09df57fd-0d79-43a2-97a4-0f603fb19d5d""}"
19;2026-09-01T11:09:30.524336+00:00;;;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""60e81f81-9412-4f58-890c-3e26244b94a9""}"
20;2026-09-01T11:09:38.971395+00:00;badm;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/adm/adm.html;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""https://gormb.github.io/_/"",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""60e81f81-9412-4f58-890c-3e26244b94a9""}"
21;2026-09-01T11:38:03.00565+00:00;;;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""6fa8c03e-3303-4c29-b02e-800bfa575bd9""}"
22;2026-09-01T11:38:14.353212+00:00;bclo;https://gormb.github.io/_?ldd&c=w,500,mcali,w,50,nTc;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""https://gormb.github.io/_/"",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""6fa8c03e-3303-4c29-b02e-800bfa575bd9""}"
23;2026-09-01T11:38:14.686759+00:00;ldd;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/LdD.html?book=b/LifeDemandedDeath.pdf;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""https://gormb.github.io/_/?bclo"",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""6fa8c03e-3303-4c29-b02e-800bfa575bd9""}"
24;2026-09-01T11:44:11.70299+00:00;bclo;https://gormb.github.io/_?ldd&c=w,500,mcali,w,50,nTc;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""09df57fd-0d79-43a2-97a4-0f603fb19d5d""}"
25;2026-09-01T11:44:11.856544+00:00;ldd;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/LdD.html?book=b/LifeDemandedDeath.pdf;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""https://gormb.github.io/_/?bclo"",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""09df57fd-0d79-43a2-97a4-0f603fb19d5d""}"
26;2026-09-01T11:45:23.82667+00:00;bclo;https://gormb.github.io/_?ldd&c=w,500,mcali,w,50,nTc;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":"""",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""f6fc2539-ebec-46ee-a5f6-910d698446f4""}"
27;2026-09-01T11:45:24.008845+00:00;ldd;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/LdD.html?book=b/LifeDemandedDeath.pdf;"{""c"":4,""d"":24,""l"":""nb-NO"",""m"":8,""p"":""MacIntel"",""r"":""https://gormb.github.io/_/?bclo"",""s"":[1440,900],""t"":0,""x"":2.5,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"",""sid"":""f6fc2539-ebec-46ee-a5f6-910d698446f4""}"
28;2026-09-01T11:46:14.969608+00:00;mbwhohqr;https://open.spotify.com/track/77u21r20AEsThKcf69lsUx?si=8d8e1d3c67f643ca;"{""c"":4,""d"":24,""l"":""en-GB"",""p"":""iPhone"",""r"":"""",""s"":[390,844],""t"":5,""x"":3,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/151.0.7922.112 Mobile/15E148 Safari/604.1"",""sid"":""b0a558b2-2c97-4ade-9710-a20f5c7a26ee""}"
29;2026-09-01T11:46:15.002266+00:00;bclo;https://gormb.github.io/_?ldd&c=w,500,mcali,w,50,nTc;"{""c"":4,""d"":24,""l"":""en-GB"",""p"":""iPhone"",""r"":"""",""s"":[390,844],""t"":5,""x"":3,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/151.0.7922.112 Mobile/15E148 Safari/604.1"",""sid"":""d2e69da3-7e8e-4879-b52a-9d7c7f653274""}"
30;2026-09-01T11:46:15.117602+00:00;ldd;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/LdD.html?book=b/LifeDemandedDeath.pdf;"{""c"":4,""d"":24,""l"":""en-GB"",""p"":""iPhone"",""r"":""https://gormb.github.io/_/?bclo"",""s"":[390,844],""t"":5,""x"":3,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/151.0.7922.112 Mobile/15E148 Safari/604.1"",""sid"":""d2e69da3-7e8e-4879-b52a-9d7c7f653274""}"
31;2026-09-01T12:20:14.11948+00:00;bclo;https://gormb.github.io/_?ldd&c=w,500,mcali,w,50,nTc;"{""c"":4,""d"":24,""l"":""nb-NO"",""p"":""iPhone"",""r"":"""",""s"":[390,844],""t"":5,""x"":3,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1"",""sid"":""af7dd59a-e8be-4e44-ac5e-041feaf5a3c2""}"
32;2026-09-01T12:20:14.374086+00:00;ldd;https://gormb.github.io/aniPublicOfficialReportSelfService/aniPublicOfficialReportSelfService_Html/wwwroot/Book/LdD.html?book=b/LifeDemandedDeath.pdf;"{""c"":4,""d"":24,""l"":""nb-NO"",""p"":""iPhone"",""r"":""https://gormb.github.io/_/?bclo"",""s"":[390,844],""t"":5,""x"":3,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1"",""sid"":""af7dd59a-e8be-4e44-ac5e-041feaf5a3c2""}"
33;2026-09-01T12:20:58.695223+00:00;bclo;https://gormb.github.io/_?ldd&c=w,500,mcali,w,50,nTc;"{""c"":4,""d"":24,""l"":""nb-NO"",""p"":""iPhone"",""r"":"""",""s"":[390,844],""t"":5,""x"":3,""z"":""Europe/Oslo"",""ua"":""Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1"",""sid"":""af7dd59a-e8be-4e44-ac5e-041feaf5a3c2""}"
